method,metric,delta,lambda,rho,sim,graph,selected_sensor,p_inf_selected,cand_mean_p_inf,cand_std_p_inf,rank_in_candidates,neigh_mean_p_inf,neigh_std_p_inf,true_state_t0,entropy_selected,entropy_cand_mean,entropy_neigh_mean,frontier_selected,frontier_rank,frontier_cand_mean
sequential,mov,0.2,0.3,0.4633333333333333,0,rrg,143,0.09156136,0.14683658,0.23265702,25,0.041468326,0.029687451,0,2.0175455,1.9442143,1.4094177,0.050093036,39,0.15750784
sequential,mov,0.2,0.3,0.4666666666666667,0,rrg,51,0.15015578,0.16117555,0.24505326,15,0.18386112,0.14045274,0,2.260731,1.8630944,2.046106,0.119757675,20,0.17069176
sequential,mov,0.2,0.3,0.47,0,rrg,29,0.39910486,0.14477754,0.19906116,4,0.06514508,0.09212808,0,1.6658578,1.9151913,0.6867091,0.3339598,11,0.14912075
sequential,mov,0.2,0.3,0.47333333333333333,0,rrg,138,0.119778335,0.14931557,0.22512399,18,0.122086324,0.08638066,0,2.030301,1.9183286,1.2591443,0.08216021,22,0.15310478
sequential,mov,0.2,0.3,0.4766666666666667,0,rrg,131,0.17386149,0.121110186,0.1927099,7,0.18013887,0.2297468,0,1.97788,1.9450737,1.2356855,0.21407044,10,0.12545507
sequential,mov,0.2,0.3,0.48,0,rrg,16,0.40937835,0.18644159,0.28058153,8,0.024927773,0.03525318,1,1.2655003,1.7856792,0.69840354,0.38445058,10,0.18298982
sequential,mov,0.2,0.3,0.48333333333333334,0,rrg,278,0.106778696,0.14573623,0.22197057,21,0.36646807,0.4498077,0,2.208185,1.8979228,0.6116491,0.33579013,13,0.17221364
sequential,mov,0.2,0.3,0.4866666666666667,0,rrg,222,0.4018585,0.17587896,0.26192832,6,0.019115591,0.02703353,0,1.3542368,1.8554006,0.6387266,0.3827429,7,0.17562024
sequential,mov,0.2,0.3,0.49,0,rrg,48,0.15673271,0.17117625,0.25834513,17,3.5756575e-06,5.056743e-06,0,1.5158587,1.843766,0.0003380285,0.15672913,16,0.17809714
sequential,mov,0.2,0.3,0.49333333333333335,0,rrg,154,0.12815082,0.082154624,0.050042234,10,0.014735177,0.020838687,0,2.1182873,2.0304353,0.7955393,0.113415636,13,0.09591701
sequential,mov,0.2,0.3,0.49666666666666665,0,rrg,232,0.1219575,0.20127602,0.30433598,19,0.3432169,0.4645735,0,1.9485399,1.7349803,0.78436184,0.36410227,11,0.2276199
sequential,mov,0.2,0.3,0.5,0,rrg,41,0.03755702,0.17368926,0.26027665,48,0.0438308,0.03452529,0,2.2502007,1.8202248,1.5595423,0.031311795,45,0.17996512
sequential,mov,0.2,0.3,0.5033333333333333,0,rrg,89,0.15971631,0.18540601,0.27860388,10,0.12308911,0.028173883,1,2.392221,1.8092636,2.3317378,0.03876174,45,0.20079225
sequential,mov,0.2,0.3,0.5066666666666667,0,rrg,115,0.36787763,0.17285027,0.2725862,8,0.24626476,0.34827095,1,1.5926905,1.7712349,0.1914467,0.36889064,10,0.20031077
sequential,mov,0.2,0.3,0.51,0,rrg,78,0.20465785,0.14309232,0.23538171,7,0.122546606,0.08729026,0,1.9382886,1.8605728,1.3449074,0.08211125,22,0.17045568
sequential,mov,0.2,0.3,0.5133333333333333,0,rrg,148,0.04705713,0.1484329,0.21819137,43,0.23839559,0.31110328,0,2.215789,1.8555353,1.152007,0.22917892,16,0.17675975
sequential,mov,0.2,0.3,0.5166666666666667,0,rrg,117,0.053606994,0.17450628,0.26385042,41,0.048315156,0.03602768,0,2.1978462,1.8294536,1.3940516,0.030446162,51,0.21878222
