O,MO,O_tilde,MO_tilde,SE,MSE,rank,precision,recall,f1,method,sim,delta,lam,rho
0.82,0.8895732,0.35714285714285704,0.42712542,4.8736706006507,4.412472,11.555555555555555,0.9090909090909091,0.5555555555555556,0.6896551724137931,gnn,0,0.3,0.3,0.72
0.88,0.92928815,0.5714285714285715,0.63315946,5.592978048213939,4.009267,10.88888888888889,0.8333333333333334,0.8333333333333334,0.8333333333333334,random,0,0.3,0.3,0.72
0.84,0.89556766,0.4285714285714285,0.45822352,4.715944968761968,4.219888,11.38888888888889,0.9166666666666666,0.6111111111111112,0.7333333333333334,gnn,0,0.3,0.3,0.74
0.9,0.93528533,0.642857142857143,0.6642718,5.534382785448654,3.9343412,10.722222222222221,0.8421052631578947,0.8888888888888888,0.8648648648648649,random,0,0.3,0.3,0.74
0.84,0.90156615,0.4285714285714285,0.48934263,4.69106987102335,4.149978,11.166666666666666,0.9166666666666666,0.6111111111111112,0.7333333333333334,gnn,0,0.3,0.3,0.76
0.9,0.925977,0.642857142857143,0.61598176,5.166233570948609,3.9721627,9.88888888888889,0.8421052631578947,0.8888888888888888,0.8648648648648649,random,0,0.3,0.3,0.76
0.84,0.90756464,0.4285714285714285,0.52046174,4.679047178356246,4.123498,10.88888888888889,0.9166666666666666,0.6111111111111112,0.7333333333333334,gnn,0,0.3,0.3,0.78
0.92,0.9319742,0.7142857142857144,0.6470941,5.029318619066356,3.8348477,9.666666666666666,0.85,0.9444444444444444,0.8947368421052632,random,0,0.3,0.3,0.78
0.86,0.91355914,0.5,0.55156016,4.561779218975666,4.0251317,10.722222222222221,0.9230769230769231,0.6666666666666666,0.7741935483870968,gnn,0,0.3,0.3,0.8
0.92,0.9318496,0.7142857142857144,0.64644784,5.022460294528287,3.8407607,9.666666666666666,0.85,0.9444444444444444,0.8947368421052632,random,0,0.3,0.3,0.8
0.84,0.92121977,0.4285714285714285,0.5913021,3.7569079723739924,3.1663754,10.944444444444445,0.8571428571428571,0.6666666666666666,0.75,gnn,0,0.3,0.3,0.82
0.92,0.937534,0.7142857142857144,0.67593735,4.980124039459411,3.7524755,9.666666666666666,0.85,0.9444444444444444,0.8947368421052632,random,0,0.3,0.3,0.82
0.84,0.9275883,0.4285714285714285,0.6243409,3.75687541732789,3.1515052,10.61111111111111,0.8571428571428571,0.6666666666666666,0.75,gnn,0,0.3,0.3,0.84
0.92,0.9413659,0.7142857142857144,0.6958167,5.00820121511914,3.6776276,9.722222222222221,0.85,0.9444444444444444,0.8947368421052632,random,0,0.3,0.3,0.84
0.84,0.93358684,0.4285714285714285,0.6554603,3.756705938687197,3.068672,10.5,0.8571428571428571,0.6666666666666666,0.75,gnn,0,0.3,0.3,0.86
0.94,0.9387149,0.7857142857142856,0.6820639,5.340859215177096,3.9307473,9.666666666666666,0.8947368421052632,0.9444444444444444,0.918918918918919,random,0,0.3,0.3,0.86
0.86,0.93958116,0.5,0.68655777,3.516405561340384,2.8760934,10.277777777777779,0.8666666666666667,0.7222222222222222,0.7878787878787877,gnn,0,0.3,0.3,0.88
0.94,0.94454074,0.7857142857142856,0.7122872,5.311785846015195,3.8593311,9.666666666666666,0.8947368421052632,0.9444444444444444,0.918918918918919,random,0,0.3,0.3,0.88
0.88,0.94557565,0.5714285714285715,0.71765614,3.4463331016038037,2.822669,10.11111111111111,0.875,0.7777777777777778,0.823529411764706,gnn,0,0.3,0.3,0.9
0.94,0.94816667,0.7857142857142856,0.7310979,4.711853241074507,3.6267152,9.666666666666666,0.8947368421052632,0.9444444444444444,0.918918918918919,random,0,0.3,0.3,0.9
0.9,0.95157003,0.642857142857143,0.7487539,2.815375082242655,2.405368,9.944444444444445,0.8823529411764706,0.8333333333333334,0.8571428571428571,gnn,0,0.3,0.3,0.92
0.94,0.95416594,0.7857142857142856,0.762221,4.460633210301815,3.2271137,9.666666666666666,0.8947368421052632,0.9444444444444444,0.918918918918919,random,0,0.3,0.3,0.92
0.92,0.95756453,0.7142857142857144,0.77985233,2.7853789558343713,2.3789594,9.777777777777779,0.8888888888888888,0.8888888888888888,0.8888888888888888,gnn,0,0.3,0.3,0.94
0.94,0.9567512,0.7857142857142856,0.77563304,4.005345684347825,3.0868878,9.666666666666666,0.8947368421052632,0.9444444444444444,0.918918918918919,random,0,0.3,0.3,0.94
0.94,0.963559,0.7857142857142856,0.8109504,2.7074634981218844,2.3234916,9.666666666666666,0.8947368421052632,0.9444444444444444,0.918918918918919,gnn,0,0.3,0.3,0.96
0.94,0.9652565,0.7857142857142856,0.8197569,4.001323152210981,2.6684709,9.61111111111111,0.8947368421052632,0.9444444444444444,0.918918918918919,random,0,0.3,0.3,0.96
0.94,0.9695575,0.7857142857142856,0.8420698,2.70391118068934,2.2250376,9.61111111111111,0.8947368421052632,0.9444444444444444,0.918918918918919,gnn,0,0.3,0.3,0.98
0.96,0.9732685,0.857142857142857,0.86132175,3.556955488229124,2.2514765,9.5,0.9,1.0,0.9473684210526316,random,0,0.3,0.3,0.98
0.96,0.97555196,0.857142857142857,0.87316793,2.6311084059203984,2.1422923,9.5,0.9,1.0,0.9473684210526316,gnn,0,0.3,0.3,1.0
0.96,0.97555196,0.857142857142857,0.87316793,2.6311084059203984,2.1422923,9.5,0.9,1.0,0.9473684210526316,random,0,0.3,0.3,1.0
0.74,0.70604736,-0.181818181818182,-0.31379125,16.541648745523535,19.323103,25.857142857142858,1.0,0.07142857142857142,0.13333333333333333,gnn,1,0.3,0.3,0.02
0.72,0.7043852,-0.272727272727273,-0.32122,17.11971251340089,19.953197,29.714285714285715,0.0,0.0,0.0,random,1,0.3,0.3,0.02
0.74,0.7112288,-0.181818181818182,-0.29063338,16.44308405889649,19.179998,26.357142857142858,1.0,0.07142857142857142,0.13333333333333333,gnn,1,0.3,0.3,0.04
0.7,0.71635604,-0.363636363636364,-0.26771766,15.730747753561223,17.563343,26.857142857142858,0.0,0.0,0.0,random,1,0.3,0.3,0.04
0.76,0.717226,-0.090909090909091,-0.26382932,14.701489509825805,17.4412,27.0,1.0,0.14285714285714285,0.25,gnn,1,0.3,0.3,0.06
0.7,0.7206889,-0.363636363636364,-0.24835247,15.209638437162344,17.125662,28.214285714285715,0.0,0.0,0.0,random,1,0.3,0.3,0.06
0.76,0.72195375,-0.090909090909091,-0.24269927,14.397573691796822,16.985695,25.285714285714285,1.0,0.14285714285714285,0.25,gnn,1,0.3,0.3,0.08
0.72,0.7266861,-0.272727272727273,-0.22154842,13.766693938265842,15.970419,26.928571428571427,0.5,0.07142857142857142,0.125,random,1,0.3,0.3,0.08
0.76,0.72966784,-0.090909090909091,-0.20822191,14.403355696834776,16.799122,22.285714285714285,1.0,0.14285714285714285,0.25,gnn,1,0.3,0.3,0.1
