O,MO,O_tilde,MO_tilde,SE,MSE,rank,precision,recall,f1,method,sim,delta,lam,rho
0.88,0.8949662,0.33333333333333354,0.4463239,3.8933747710205187,4.5256453,9.0,0.8888888888888888,0.6153846153846154,0.7272727272727274,gnn,0,0.3,0.3,0.7
0.92,0.92595214,0.5555555555555559,0.6096635,4.095397371144363,2.850673,7.076923076923077,0.7647058823529411,1.0,0.8666666666666666,random,0,0.3,0.3,0.7
0.9,0.88674295,0.4444444444444447,0.40297586,3.8300143400268585,4.5298796,9.0,1.0,0.6153846153846154,0.761904761904762,gnn,0,0.3,0.3,0.72
0.9,0.93326515,0.4444444444444447,0.6482134,2.7402903247120567,2.1209342,7.153846153846154,0.7222222222222222,1.0,0.8387096774193548,random,0,0.3,0.3,0.72
0.9,0.8861744,0.4444444444444447,0.3999787,3.7754293759933106,3.8728118,9.307692307692308,1.0,0.6153846153846154,0.761904761904762,gnn,0,0.3,0.3,0.74
0.92,0.9248752,0.5555555555555559,0.6039865,2.731489163150319,2.207942,7.153846153846154,0.7647058823529411,1.0,0.8666666666666666,random,0,0.3,0.3,0.74
0.9,0.8961716,0.4444444444444447,0.45267826,3.733425951445728,3.870777,8.923076923076923,1.0,0.6153846153846154,0.761904761904762,gnn,0,0.3,0.3,0.76
0.92,0.9310669,0.5555555555555559,0.63662535,2.713788967168046,2.130737,7.076923076923077,0.7647058823529411,1.0,0.8666666666666666,random,0,0.3,0.3,0.76
0.92,0.90216684,0.5555555555555559,0.4842815,3.666593288777394,3.8110197,8.461538461538462,1.0,0.6923076923076923,0.8181818181818181,gnn,0,0.3,0.3,0.78
0.94,0.9293477,0.6666666666666664,0.6275629,2.801622513963935,2.360083,7.076923076923077,0.8125,1.0,0.896551724137931,random,0,0.3,0.3,0.78
0.92,0.9086449,0.5555555555555559,0.51843005,3.2997521257765685,3.4044466,8.23076923076923,1.0,0.6923076923076923,0.8181818181818181,gnn,0,0.3,0.3,0.8
0.94,0.93534654,0.6666666666666664,0.65918523,2.5163719525612733,2.3336787,7.076923076923077,0.8125,1.0,0.896551724137931,random,0,0.3,0.3,0.8
