method,metric,delta,lambda,rho,sim,graph,selected_sensor,p_inf_selected,cand_mean_p_inf,cand_std_p_inf,rank_in_candidates,neigh_mean_p_inf,neigh_std_p_inf,true_state_t0,entropy_selected,entropy_cand_mean
sequential,c_mov,0.1,0.3,0.16666666666666666,0,rrg,3,0.099934906,0.099934906,0.0,1,0.39876294,0.4226067,0,0.69706035,0.6970603466033936
sequential,c_mov,0.1,0.3,0.3333333333333333,0,rrg,4,0.0999349,0.0999349,0.0,1,0.066740505,0.046943936,0,0.18533051,0.18533051013946533
sequential,c_mov,0.1,0.3,0.5,0,rrg,5,0.09999898,0.09999898,0.0,1,0.3450891,0.44539595,0,0.2426658,0.24266579747200012
sequential,c_mov,0.1,0.3,0.6666666666666666,0,rrg,1,0.0906058,0.0906058,0.0,1,0.33331695,0.4713765,1,0.00033217936,0.00033217936288565397
sequential,c_mov,0.1,0.3,0.8333333333333334,0,rrg,0,0.9402354,0.9402354,0.0,1,0.3332999,0.47127005,0,0.059916895,0.059916894882917404
sequential,ov,0.2,0.3,0.0,0,rrg,0,0.19977207,0.19977207,0.0,1,0.19977205,4.3867832e-08,1,1.9304912,1.9304912090301514
sequential,ov,0.2,0.3,0.16666666666666666,0,rrg,2,0.19988604,0.19988604,0.0,1,0.46629226,0.37675524,0,1.5309788,1.530978798866272
sequential,ov,0.2,0.3,0.3333333333333333,0,rrg,4,0.19977213,0.19977213,0.0,1,0.13318595,0.09416707,1,0.91451013,0.9145101308822632
sequential,ov,0.2,0.3,0.5,0,rrg,5,0.19977213,0.19977213,0.0,1,0.46591806,0.3763871,0,0.39836025,0.3983602523803711
sequential,ov,0.2,0.3,0.6666666666666666,0,rrg,1,0.116485745,0.116485745,0.0,1,0.66438335,0.46953377,1,0.6452806,0.6452805995941162
sequential,ov,0.2,0.3,0.8333333333333334,0,rrg,3,0.11326149,0.11326149,0.0,1,0.33236548,0.46955687,0,0.3466316,0.34663158655166626
sequential,mov,0.2,0.3,0.0,0,rrg,1,0.19977206,0.19977206,0.0,1,0.19977212,2.7205674e-08,1,1.0034702,1.0034701824188232
sequential,mov,0.2,0.3,0.16666666666666666,0,rrg,3,0.19977212,0.19977212,0.0,1,0.19977212,3.7500435e-08,0,0.76731443,0.7673144340515137
sequential,mov,0.2,0.3,0.3333333333333333,0,rrg,2,0.37616897,0.37616897,0.0,1,0.26387873,0.24572593,0,0.7814486,0.7814486026763916
sequential,mov,0.2,0.3,0.5,0,rrg,0,0.9928749,0.9928749,0.0,1,0.33280405,0.4705129,1,0.65422714,0.6542271375656128
sequential,mov,0.2,0.3,0.6666666666666666,0,rrg,4,0.1995443,0.1995443,0.0,1,0.39866355,0.43045363,1,0.39666662,0.39666661620140076
sequential,mov,0.2,0.3,0.8333333333333334,0,rrg,5,0.1995443,0.1995443,0.0,1,0.6643757,0.4695803,0,0.07759235,0.07759235054254532
sequential,c_mov,0.2,0.3,0.0,0,rrg,1,0.19977206,0.19977206,0.0,1,0.19977212,2.7205674e-08,1,1.0034702,1.0034701824188232
sequential,c_mov,0.2,0.3,0.16666666666666666,0,rrg,4,0.19977216,0.19977216,0.0,1,0.46591797,0.3763871,1,0.5929012,0.5929011702537537
sequential,c_mov,0.2,0.3,0.3333333333333333,0,rrg,2,0.19954403,0.19954403,0.0,1,0.4651691,0.3756505,0,0.6325665,0.632566511631012
sequential,c_mov,0.2,0.3,0.5,0,rrg,3,0.19977215,0.19977215,0.0,1,0.3969338,0.42788002,0,0.50644135,0.5064413547515869
sequential,c_mov,0.2,0.3,0.6666666666666666,0,rrg,5,0.1995443,0.1995443,0.0,1,0.6643759,0.46957994,0,0.078317195,0.07831719517707825
sequential,c_mov,0.2,0.3,0.8333333333333334,0,rrg,0,0.98682797,0.98682797,0.0,1,0.3322731,0.4696221,1,0.028537266,0.028537265956401825
sequential,ov,0.3,0.3,0.0,0,rrg,1,0.29915357,0.29915357,0.0,1,0.2991536,7.094371e-08,0,1.0341202,1.0341202020645142
sequential,ov,0.3,0.3,0.16666666666666666,0,rrg,3,0.29957682,0.29957682,0.0,1,0.19973302,0.1412005,0,0.75423884,0.7542388439178467
sequential,ov,0.3,0.3,0.3333333333333333,0,rrg,5,0.29957685,0.29957685,0.0,1,0.44654405,0.41497308,0,0.19741085,0.19741085171699524
sequential,ov,0.3,0.3,0.5,0,rrg,4,0.29957682,0.29957682,0.0,1,0.49924934,0.40819246,0,0.13522278,0.13522277772426605
sequential,ov,0.3,0.3,0.6666666666666666,0,rrg,0,0.9999687,0.9999687,0.0,1,2.6862683e-05,1.2350467e-05,1,0.29345563,0.2934556305408478
sequential,ov,0.3,0.3,0.8333333333333334,0,rrg,2,0.6235869,0.6235869,0.0,1,7.239817e-05,1.8526691e-06,1,0.003621655,0.00362165505066514
sequential,mov,0.3,0.3,0.0,0,rrg,3,0.29915366,0.29915366,0.0,1,0.2991536,5.7067105e-08,0,0.6905393,0.6905393004417419
sequential,mov,0.3,0.3,0.16666666666666666,0,rrg,1,0.52536076,0.52536076,0.0,1,0.2288044,0.16554388,0,0.9614338,0.9614338278770447
sequential,mov,0.3,0.3,0.3333333333333333,0,rrg,0,0.9996187,0.9996187,0.0,1,0.199733,0.1412005,1,1.0903324,1.0903323888778687
sequential,mov,0.3,0.3,0.5,0,rrg,2,0.34173864,0.34173864,0.0,1,0.19946904,0.14097524,1,0.63651276,0.6365127563476562
sequential,mov,0.3,0.3,0.6666666666666666,0,rrg,4,0.29915363,0.29915363,0.0,1,0.66562825,0.47065267,0,0.23260236,0.23260235786437988
sequential,mov,0.3,0.3,0.8333333333333334,0,rrg,5,0.29915363,0.29915363,0.0,1,0.66568637,0.47057042,0,0.06666082,0.0666608214378357
sequential,c_mov,0.3,0.3,0.0,0,rrg,4,0.29915366,0.29915366,0.0,1,0.29915354,2.9802322e-08,0,0.5568252,0.5568252205848694
sequential,c_mov,0.3,0.3,0.16666666666666666,0,rrg,3,0.29915366,0.29915366,0.0,1,0.44989857,0.10659276,0,0.5680326,0.5680326223373413
sequential,c_mov,0.3,0.3,0.3333333333333333,0,rrg,0,0.50361395,0.50361395,0.0,1,0.30120662,0.24649286,1,1.2963141,1.2963141202926636
sequential,c_mov,0.3,0.3,0.5,0,rrg,5,0.29957682,0.29957682,0.0,1,0.5176853,0.40846053,0,0.17856666,0.17856666445732117
sequential,c_mov,0.3,0.3,0.6666666666666666,0,rrg,2,0.6925916,0.6925916,0.0,1,9.738694e-05,1.7525246e-05,1,0.20503153,0.20503152906894684
sequential,c_mov,0.3,0.3,0.8333333333333334,0,rrg,1,0.37548837,0.37548837,0.0,1,0.33289406,0.4706025,0,0.36082587,0.36082586646080017
sequential,ov,0.1,0.3,0.0,1,rrg,0,0.09996745,0.09996745,0.0,1,0.09996744,6.083374e-09,0,1.3812966,1.3812966346740723
sequential,ov,0.1,0.3,0.16666666666666666,1,rrg,1,0.09996739,0.09996739,0.0,1,0.09996744,1.9712383e-08,0,0.83976704,0.8397670388221741
sequential,ov,0.1,0.3,0.3333333333333333,1,rrg,4,0.099967465,0.099967465,0.0,1,0.088878036,0.007841413,0,1.2859184,1.2859183549880981
sequential,ov,0.1,0.3,0.5,1,rrg,3,0.09996746,0.09996746,0.0,1,0.08887803,0.007841404,1,0.990659,0.9906589984893799
sequential,ov,0.1,0.3,0.6666666666666666,1,rrg,5,0.09996746,0.09996746,0.0,1,0.06115452,0.043659054,0,0.7982725,0.7982724905014038
sequential,ov,0.1,0.3,0.8333333333333334,1,rrg,2,0.19034845,0.19034845,0.0,1,0.38745072,0.43701938,0,0.67934585,0.6793458461761475
sequential,mov,0.1,0.3,0.0,1,rrg,4,0.09996745,0.09996745,0.0,1,0.09996744,6.083374e-09,0,0.39052057,0.3905205726623535
sequential,mov,0.1,0.3,0.16666666666666666,1,rrg,5,0.099999495,0.099999495,0.0,1,0.20163564,0.21828668,0,0.41872704,0.4187270402908325
sequential,mov,0.1,0.3,0.3333333333333333,1,rrg,0,0.61266655,0.61266655,0.0,1,0.033355433,0.04712194,0,1.2064908,1.2064907550811768
sequential,mov,0.1,0.3,0.5,1,rrg,3,0.09998372,0.09998372,0.0,1,0.16666208,0.059035055,1,0.49211854,0.4921185374259949
sequential,mov,0.1,0.3,0.6666666666666666,1,rrg,1,0.20972955,0.20972955,0.0,1,0.3996067,0.43110147,0,0.41283023,0.4128302335739136
sequential,mov,0.1,0.3,0.8333333333333334,1,rrg,2,0.19034845,0.19034845,0.0,1,0.38745072,0.43701938,0,0.67934585,0.6793458461761475
sequential,c_mov,0.1,0.3,0.0,1,rrg,1,0.099967435,0.099967435,0.0,1,0.09996744,1.0536712e-08,0,0.6559725,0.6559724807739258
sequential,c_mov,0.1,0.3,0.16666666666666666,1,rrg,0,0.099934876,0.099934876,0.0,1,0.09993491,0.0,0,1.3579439,1.3579438924789429
sequential,c_mov,0.1,0.3,0.3333333333333333,1,rrg,5,0.099967465,0.099967465,0.0,1,0.09442275,0.007841404,0,1.2932563,1.2932562828063965
sequential,c_mov,0.1,0.3,0.5,1,rrg,3,0.099967465,0.099967465,0.0,1,0.120193206,0.026326455,1,0.969705,0.9697049856185913
sequential,c_mov,0.1,0.3,0.6666666666666666,1,rrg,4,0.13943051,0.13943051,0.0,1,0.07252555,0.05520327,0,0.734046,0.7340459823608398
sequential,c_mov,0.1,0.3,0.8333333333333334,1,rrg,2,0.19034845,0.19034845,0.0,1,0.38745072,0.43701938,0,0.67934585,0.6793458461761475
sequential,ov,0.2,0.3,0.0,1,rrg,0,0.1995442,0.1995442,0.0,1,0.19954427,2.7205674e-08,0,1.9296559,1.929655909538269
